track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,predicted_genre,actual_genre,confidence_interval
0x6QL1WPFiIBUFIRXkpNE7,Sólstafir,Köld,Köld,18,538973,False,0.109,0.406,0,-8.37,0,0.0384,0.000547,0.233,0.0892,0.0769,158.128,3,Rock & Metal,Rock & Metal,Rock & Metal,0.41
0fsB93YQEryjWOtRyymyxa,Kemuel,"Sacrifício, Vol. 1",Vem Com Josué Lutar Em Jericó,26,333976,False,0.404,0.835,2,-5.99,0,0.132,0.322,0.0,0.305,0.813,96.982,4,Hip-Hop & R&B,Folk & Country,Hip-Hop & R&B,0.49
5rbPMur4z2pJyME0O6u2VK,Roupa Nova,Nossa História,Tímida,39,237106,False,0.571,0.572,9,-10.482,1,0.0297,0.655,0.0,0.194,0.879,75.105,4,Folk & Country,Folk & Country,Folk & Country,0.54
5Xx57TQH1ZhmSGTADjhWne,Boston 168,Black Hole,Terror Acid,34,389420,False,0.68,0.995,8,-8.674,1,0.0513,0.00137,0.894,0.0918,0.0421,127.982,4,Pop & Dance,Pop & Dance,Pop & Dance,0.9
2jrtlEsTbL8g4aGbOnCyMb,Luiz Gonzaga,A Raíz do Nordeste,Respeita Januário,39,150565,False,0.765,0.501,8,-6.049,1,0.156,0.82,0.0,0.246,0.746,84.604,4,Folk & Country,Folk & Country,Folk & Country,0.39
785qOkn2zPlbtUt5djGcK5,Anjelah Johnson,The Homecoming Show,Wwf,21,133248,False,0.58,0.73,11,-12.002,1,0.936,0.758,0.0,0.373,0.437,105.283,3,Comedy & Children,Comedy & Children,Comedy & Children,0.9
2QQJGESbEZRi0LSUVwvEiP,White Noise for Babies;Natural White Noise for Babies;White Noise Baby Sleep;White Noise Nature Sounds Baby Sleep,White Noise Colic Relief,White Noise Waves,41,176000,False,0.0745,0.996,11,-15.343,1,0.0517,0.904,0.955,0.951,1e-05,82.182,5,Ambient & Chill,Ambient & Chill,Ambient & Chill,0.96
45JIlBXEhd6BriIUqxITFT,Hank Williams,The Complete Hank Williams,Sundown And Sorrow,11,81106,False,0.405,0.351,2,-12.126,1,0.0279,0.891,0.0,0.128,0.888,82.449,4,Folk & Country,Folk & Country,Folk & Country,0.72
2epbL7s3RFV81K5UhTgZje,Fools Garden,Dish of the Day,Lemon Tree,39,191026,False,0.663,0.477,1,-8.839,1,0.0414,0.644,0.0,0.122,0.643,143.173,4,World & Ethnic,Folk & Country,World & Ethnic,0.49
6OJrOS2eZKGvkjZMrPWEeV,Mickie Krause,Geh mal Bier hol'n (GmBh) [Après Ski Version],Geh mal Bier hol'n - GmBh - Après Ski Version,31,176706,False,0.634,0.993,1,-5.428,1,0.227,0.181,0.0,0.223,0.733,139.963,4,Pop & Dance,Pop & Dance,Pop & Dance,0.55
556LOWUlA21iPkLX7479ym,Nikolay Kopylov,Популярные Арии И Дуэты Из Классических Оперетт,Чардаш Тассилло Из Оперетты ''марица'',0,162800,False,0.277,0.453,2,-8.486,1,0.0356,0.978,0.0392,0.0963,0.347,89.123,3,Folk & Country,Folk & Country,Folk & Country,0.6
49odHNZ8ePFwjcwBHTyMuF,The Staple Singers,pov: you rock around the christmas tree,Who Took The Merry Out Of Christmas,0,149333,False,0.609,0.485,8,-11.166,1,0.091,0.112,2.08e-05,0.0967,0.736,101.611,4,Hip-Hop & R&B,Hip-Hop & R&B,Hip-Hop & R&B,1.0
4cWYOdCkbQBVGwbJv5ayFu,Kester,Hits of Kester (Christian Devotional),Ithratholam Enne,39,347746,False,0.604,0.485,4,-6.868,1,0.0254,0.326,0.0,0.0799,0.374,79.97,4,World & Ethnic,World & Ethnic,World & Ethnic,0.39
4JgaR869vaibKJFQqQGRur,The Toasters,Don't Let The Bastards Grind You Down,Don't Let The Bastards Grind You Down,35,171093,False,0.567,0.973,2,-5.033,1,0.0524,0.062,0.000157,0.0811,0.916,174.223,4,Other / Misc,Other / Misc,Other / Misc,0.29
6H4l43NExDACR03GX4Wiip,Faber,Orpheum (Live),Ma tu no - Live,38,205924,False,0.532,0.453,0,-12.609,1,0.0321,0.439,0.39,0.758,0.427,94.175,4,World & Ethnic,Folk & Country,World & Ethnic,0.29
3iVv2yAUAlh6rzVrqV55xU,Bleeding Through,The Truth,For Love And Failing,23,213640,True,0.268,0.985,4,-2.406,0,0.211,0.000907,0.0,0.361,0.121,144.854,4,Rock & Metal,Rock & Metal,Rock & Metal,0.78
4WleNlu9ZK9i7VA15tuTWz,Aviões do Forró,Aviões Fantasy (Ao Vivo),Primeiro Ponto - Ao Vivo,39,174080,False,0.43,0.91,2,-2.55,1,0.154,0.508,0.0,0.413,0.604,168.44,4,Folk & Country,Folk & Country,Folk & Country,0.59
1BhafeHIDUSLk1FZH67oiY,Xamã;Mano fler;Tiankris,Seu Rei,Seu Rei,47,239171,False,0.607,0.629,0,-8.982,0,0.255,0.276,0.0,0.122,0.339,84.415,4,Folk & Country,World & Ethnic,Folk & Country,0.4
2zAAXQbzIB5e2VpBiGI8SI,Celldweller,Satellites,Into the Void,35,316701,False,0.401,0.949,7,-4.805,1,0.111,8.29e-05,0.00567,0.153,0.536,194.032,4,Rock & Metal,Rock & Metal,Rock & Metal,0.59
0wMQ1YhoXJ47vfoFHTTpfJ,Jorge Leo & Atrato River,Desbordante,Amor Tormentoso,29,252107,False,0.688,0.78,4,-10.831,0,0.0517,0.273,0.00208,0.0544,0.653,177.066,4,Folk & Country,Folk & Country,Folk & Country,0.39
4jcAxMLms2Rmc0z940LuH8,Los Caligaris,Bailarín Apocalíptico,Vereda,43,242582,False,0.673,0.813,9,-7.049,1,0.0558,0.197,0.0,0.344,0.61,137.024,4,Other / Misc,Folk & Country,Other / Misc,0.4
6GfqNqXkAofNOakU77MWEb,Aitana;Evaluna Montaner,Aunque No Sea Conmigo,Aunque No Sea Conmigo,66,179648,False,0.632,0.555,3,-6.38,1,0.0333,0.32,0.0,0.227,0.544,92.085,4,World & Ethnic,Folk & Country,World & Ethnic,0.29
6WFTwWXRi9TRFM1Xb1jCcu,The Prophet;DJ Rob,The Hardcore Archive Part 1 (1993 - 1994),Allright Now Here We Go!!! (DJ Rob Remix) - Extended Mix,16,294938,False,0.553,0.792,7,-7.665,1,0.0467,0.00126,0.883,0.139,0.0555,174.764,4,Ambient & Chill,Pop & Dance,Ambient & Chill,0.8
7Ig3MGkYCA3r3GS84zQ7NI,Philip,Happier Than Ever - Piano Version,Happier Than Ever,42,287294,False,0.428,0.0373,0,-24.593,1,0.0422,0.992,0.915,0.12,0.159,107.43,4,Classical & Opera,Ambient & Chill,Classical & Opera,0.52
3BTENyrDLwuNPjJs7eARNQ,Vitinho;Ah! Mr. Dan,"Sonhos, Vol. 1 (Ao Vivo)",Avesso - Ao Vivo,47,205965,False,0.589,0.733,6,-5.676,1,0.0456,0.762,0.0,0.97,0.644,139.98,4,Folk & Country,Folk & Country,Folk & Country,1.0
3akr0ZrJxLMBLIFeNNKffW,Masayoshi Yamazaki,"One more time,One more chance","One more time,One more chance",47,330786,False,0.519,0.429,11,-7.707,0,0.0317,0.658,0.0,0.111,0.396,129.491,4,Folk & Country,Folk & Country,Folk & Country,0.53
0P3zuQ8l5QowgBly7uuAwg,Scooter,Jumping All Over the World - Whatever You Want,Enola Gay,22,239491,False,0.557,0.951,7,-5.286,1,0.0372,0.0159,0.718,0.391,0.682,145.002,4,Ambient & Chill,Ambient & Chill,Ambient & Chill,0.53
35PKfoynRpVFoAUE3D5Kc6,Hozier,Hozier,Work Song,63,229715,False,0.432,0.388,10,-7.687,1,0.1,0.776,0.0,0.112,0.256,177.549,3,Folk & Country,Folk & Country,Folk & Country,0.3
2MHys4QtjlA9PW4vpWMHme,Daniela Araújo,Santo,Santo,38,218538,False,0.278,0.437,0,-9.071,1,0.0392,0.791,0.00299,0.148,0.23,97.978,4,Hip-Hop & R&B,Folk & Country,Hip-Hop & R&B,0.21
5R0xj5he44K9pSZoljwXy7,Gabriel Brito,Perfeito Amor,Perfeito Amor,44,261426,False,0.445,0.499,4,-7.045,1,0.0266,0.433,0.000818,0.0902,0.142,150.129,3,Folk & Country,World & Ethnic,Folk & Country,0.29
58JI1jv4MXaIegg48fOzbB,Frequencerz;Bass Chaserz,Defqon.1 2017 RED,Renegades - Edit,19,180049,False,0.504,0.988,6,-1.422,1,0.14,0.0997,0.000426,0.117,0.466,152.16,4,Pop & Dance,Pop & Dance,Pop & Dance,0.69
5feKaHHoqeanfTtR7hxb4o,Turma do Pagode;Thiago Brava,Live Mixturadin,Dona Maria - Ao Vivo,42,129560,False,0.665,0.666,11,-7.567,1,0.0909,0.645,0.0,0.502,0.916,86.417,4,Folk & Country,Folk & Country,Folk & Country,0.49
46cJSfRttZTIuKjYX57Y8P,Ten City,Foundation,Right Back to You - Extended Version,22,550426,False,0.756,0.536,3,-13.248,0,0.0891,0.0529,0.000465,0.105,0.846,120.189,4,Pop & Dance,Pop & Dance,Pop & Dance,0.4
0yXTFbdOJn8iE4zPGKePNJ,Michelle;Matthias Reim,MR20,Nicht verdient - Rock Edit,33,194560,False,0.626,0.817,8,-4.735,1,0.0504,0.0369,0.0,0.111,0.655,128.005,4,Pop & Dance,Pop & Dance,Pop & Dance,0.52
5r5zw6JOwRjZ3Tsx6PXDoJ,Banda Magníficos,Frente a Frente,Muito Pra Te Dar,37,196666,False,0.651,0.725,4,-8.148,1,0.0407,0.477,0.0,0.295,0.956,102.398,4,Folk & Country,Folk & Country,Folk & Country,0.67
2q6wc5D0jaxOZcycuyllLG,Los Vaguens,Los Amantes,Los Amantes,29,212571,False,0.473,0.747,11,-6.369,1,0.0353,0.413,0.000102,0.369,0.418,104.839,4,Rock & Metal,Folk & Country,Rock & Metal,0.19
7qGpYEca4muf9nKvCso8AB,Georges Bizet;Angela Gheorghiu;Michel Plasson;Wolff;Orchestre National Du Capitole De Toulouse,Bizet : Carmen,"Carmen, Act III, No.20 Trio: Voyons que j'essaie à mon tour (Carmen)",20,67866,False,0.315,0.0371,0,-21.937,1,0.0553,0.981,0.000357,0.0925,0.0348,124.587,3,Classical & Opera,Classical & Opera,Classical & Opera,0.48
4zae5PuQABqDYBCZtJ62Wo,Cesar Costa,Grandes Éxitos Vol.2,Diana,28,143333,False,0.451,0.523,5,-9.955,1,0.0305,0.778,1.84e-05,0.476,0.768,147.454,4,Rock & Metal,Rock & Metal,Rock & Metal,0.48
4ZBxAQzSqxf09s3ef1KBf7,Seu Pereira e Coletivo 401,Seu Pereira e Coletivo 401,Já Era,43,263040,False,0.64,0.659,7,-8.448,1,0.0385,0.194,0.0,0.167,0.382,127.078,4,Folk & Country,Folk & Country,Folk & Country,0.26
5cguSM8YxXkeqcJxOUfs6X,Joe Satriani,Super Colossal,Made of Tears,37,332853,False,0.603,0.715,4,-7.418,1,0.0274,0.0341,0.704,0.0754,0.178,94.875,4,Rock & Metal,Pop & Dance,Rock & Metal,0.42
0bark9ggXjhaH9iy7RqwpR,Charlie Brown Jr.,Camisa 10 joga bola até na chuva,"Uma só vida pra viver, tenho sede nela eu vou",38,302320,False,0.573,0.882,5,-4.17,0,0.0391,0.245,0.0,0.133,0.878,160.027,4,Rock & Metal,Folk & Country,Rock & Metal,0.6
1vUQRTE8oLMXXUpQAvl85h,He Is Legend,few,Beaufort,27,219771,False,0.499,0.981,8,-4.093,1,0.086,3.68e-06,0.723,0.112,0.357,113.025,4,Rock & Metal,Rock & Metal,Rock & Metal,0.81
1ePOfkd5LewY9vzuh5dBOs,Autechre,EP7,Ccec,13,299000,False,0.5,0.661,1,-13.573,1,0.426,0.0405,0.847,0.0826,0.28,191.834,4,Pop & Dance,Pop & Dance,Pop & Dance,0.64
4OCCRTzZrXvQapAlDVKIbx,Luis Salinas,Salinas,Count On Me (Cuenta Conmigo),22,347240,False,0.487,0.166,4,-13.434,0,0.0357,0.915,0.000657,0.0951,0.0853,120.779,4,Rock & Metal,Folk & Country,Rock & Metal,0.24
7vR8sGqVg5HMEOEvECdzlQ,Yuvan Shankar Raja;Tanvi Shah,"Voice of Yuvanshankar Raja, Vol. 2","En Kadhal Solla (From ""Paiya"")",60,293893,False,0.874,0.412,0,-5.746,0,0.0313,0.035,0.00684,0.102,0.56,105.019,4,Pop & Dance,Pop & Dance,Pop & Dance,0.41
4g3IrwIgcR2NIaO1h10orQ,Pink Guy,Pink Season,Are You Serious,40,149888,True,0.775,0.688,2,-7.44,1,0.0624,0.11,0.0,0.362,0.469,119.983,4,Comedy & Children,Pop & Dance,Comedy & Children,0.29
1e4URAY17wNJAk9zoV4aBq,João Gordo,Brutal Brega,A Namorada Que Sonhei,24,131826,False,0.533,0.735,9,-7.932,0,0.0341,0.00356,0.0,0.302,0.786,104.939,4,Rock & Metal,Rock & Metal,Rock & Metal,0.37
4pp9Yhne1AavWHck7OzGFD,Chelsea Grin,Evolve,"Don't Ask, Don't Tell",50,321746,False,0.467,0.983,9,-3.443,0,0.153,0.00209,0.105,0.349,0.0833,120.01,4,Rock & Metal,Rock & Metal,Rock & Metal,0.45
2vCmEN4xmMXXKKL6L52qnU,Jack Hartmann,"Kindergarten Songs (Greatest Hits, Vol. 1)",A Beautiful Day,11,155373,False,0.636,0.594,4,-5.784,1,0.0283,0.381,0.0,0.122,0.658,111.837,4,Comedy & Children,Folk & Country,Comedy & Children,0.37
2fUW6sGWGtpgY1QdulYoiE,Diante do Trono;Ana Paula Valadão,Águas Purificadoras - Diante do Trono 3 (Ao Vivo),O Cheiro das Águas - Ao Vivo,42,375733,False,0.355,0.244,9,-12.207,0,0.0304,0.656,0.0,0.085,0.109,125.401,4,Hip-Hop & R&B,World & Ethnic,Hip-Hop & R&B,0.33
4iXJ1MCn4P10QNSbIDT1ig,Before I Turn,Lovelorn,Cold,22,241750,False,0.455,0.979,4,-2.631,0,0.0939,4.1e-05,0.000954,0.0844,0.204,130.025,4,Rock & Metal,Rock & Metal,Rock & Metal,0.79
2NWVdwbd2hPIzC2lyf4y63,Ashe;Niall Horan,Moral of the Story (feat. Niall Horan),Moral of the Story (feat. Niall Horan),67,198515,True,0.599,0.374,10,-8.896,1,0.0385,0.495,0.0,0.221,0.224,119.9,4,Pop & Dance,Pop & Dance,Pop & Dance,0.56
6YXDfEyxHSr1IPeVImfDuE,Giacomo Puccini;Luciano Pavarotti;Mirella Freni;Berliner Philharmoniker;Herbert von Karajan,Silvia Colloca - Sing Like An Italian,"La bohème, SC 67: O soave fanciulla",0,257732,False,0.212,0.106,7,-20.938,1,0.0433,0.969,0.0376,0.0937,0.0398,83.746,4,Classical & Opera,Classical & Opera,Classical & Opera,0.48
4wD9JAkbVs3hYe0UYrterB,Groove Armada,Soundboy Rock,Save My Soul,19,262280,False,0.793,0.805,8,-6.239,0,0.0765,0.339,0.883,0.138,0.305,130.008,4,Ambient & Chill,Pop & Dance,Ambient & Chill,0.67
5Gv1lrNFnL3DhiMj3JOGaX,Mike Williams;Maia Wright,Wait For You (feat. Maia Wright),Wait For You (feat. Maia Wright),55,172909,False,0.476,0.735,1,-4.166,0,0.0429,0.2,0.0,0.181,0.405,109.562,4,Pop & Dance,Pop & Dance,Pop & Dance,0.38
7dENhnDxTHnzGtpMrsJ72w,I Prevail,TRAUMA,Paranoid,61,144546,False,0.558,0.793,1,-6.861,0,0.0374,0.000641,2.93e-05,0.731,0.457,75.999,4,Rock & Metal,Rock & Metal,Rock & Metal,0.39
0PlUMPy4OsPMQwUn1JEbYu,Jobii,English Breakfast,English Breakfast,32,144000,False,0.796,0.626,5,-6.637,0,0.122,0.0337,0.837,0.107,0.638,80.009,4,Ambient & Chill,Ambient & Chill,Ambient & Chill,0.72
6UnPzOY99gntZzoOdbpCC8,Miranda!,Es Mentira,Romix,44,239400,False,0.699,0.863,0,-3.436,1,0.0329,0.0798,0.0,0.476,0.439,130.002,4,Pop & Dance,Pop & Dance,Pop & Dance,0.32
15pTnpGyI2zQ9JiwhImMRb,Dan Gibson's Solitudes,Stream of Dreams,After the Rain,20,598666,False,0.25,0.049,7,-31.499,1,0.0466,0.689,0.000162,0.908,0.0452,125.612,3,Ambient & Chill,Ambient & Chill,Ambient & Chill,0.32
07mEPA8M9EIsehueGzoHRG,Håkan Hellström,Håkan Boma Ye! (Live),Bara dårar rusar in (Live),27,260906,False,0.214,0.464,4,-10.513,1,0.0375,0.525,0.000103,0.371,0.291,92.084,3,Other / Misc,Folk & Country,Other / Misc,0.18
1Cc4C9s1IwKy8eSQfHNtL3,Rey Ruiz,Éxitos y Más,No Me Acostumbro,28,291560,False,0.664,0.841,5,-5.178,0,0.0398,0.655,1.22e-05,0.31,0.935,172.981,4,Folk & Country,Folk & Country,Folk & Country,0.88
5lCI0WJto9UU4235xaHE4y,Tomgang,Ein Anleggsslusk,Ein Anleggsslusk,42,254559,False,0.563,0.653,9,-7.328,1,0.0464,0.068,0.000357,0.374,0.613,164.048,4,Folk & Country,Folk & Country,Folk & Country,0.31
5jyY2GDYH8hgDPg4MceclY,Rolf Zuckowski,Heia - Rolfs kleine Nachtmusik,Das war mein Tag,28,174973,False,0.794,0.368,2,-7.914,1,0.0358,0.739,1.13e-06,0.0416,0.507,119.959,4,Comedy & Children,Folk & Country,Comedy & Children,0.35
36i5ZC3bv8hv5AqWtlqJep,Luca Brasi,Everything is Tenuous,Dying to Feel Alive,28,273786,False,0.502,0.902,7,-2.588,1,0.0336,0.00174,0.0,0.244,0.497,139.995,4,Rock & Metal,Pop & Dance,Rock & Metal,0.38
2baEFuU0gQon0hgVRioI1o,The Beatles,Please Please Me (Remastered),Anna (Go To Him) - Remastered 2009,57,177133,False,0.608,0.565,2,-11.06,1,0.0336,0.635,0.0,0.0601,0.835,109.286,4,Other / Misc,Folk & Country,Other / Misc,0.41
4GTqh9OCxIxjMtmNLA8HTY,Brad Williams,Fun Size,Achondroplasiaphobia,22,218718,False,0.643,0.488,6,-21.464,0,0.923,0.799,0.0,0.931,0.354,119.525,4,Comedy & Children,Comedy & Children,Comedy & Children,0.91
6qr0PaTKHYx91UPfMTQxdM,Boris Brejcha,Up Down Jumper,Keep Rollin,47,480000,False,0.74,0.876,8,-8.691,1,0.0563,0.00154,0.868,0.0993,0.173,124.995,4,Pop & Dance,Pop & Dance,Pop & Dance,0.99
5O8L4I2S4izFGDjvP7xAKv,Nirvana,Nirvana,You Know You're Right,69,217000,False,0.289,0.716,5,-6.53,0,0.106,0.0407,0.00123,0.135,0.344,168.049,4,Rock & Metal,Rock & Metal,Rock & Metal,0.4
17UVxL0MYEmKzXppfUL5in,Sufjan Stevens,Carrie & Lowell,The Only Thing,64,284130,False,0.51,0.146,3,-19.585,1,0.0389,0.987,0.0688,0.107,0.498,159.034,4,Folk & Country,Folk & Country,Folk & Country,0.36
5toFHcmv9XVQsOKbjlUZWY,Blake Shelton;Michael Bublé,Country Holiday,Home,0,227040,False,0.576,0.456,7,-7.583,1,0.0267,0.584,2.68e-05,0.0912,0.21,127.854,4,Folk & Country,Folk & Country,Folk & Country,0.95
6c6xJgk6Z7WElX8tRUdjZk,Correatown,Spark. Burn. Fade.,All The World (I Tell Myself),38,273026,False,0.488,0.294,6,-14.717,0,0.0261,0.917,0.841,0.0876,0.26,76.647,3,Folk & Country,Ambient & Chill,Folk & Country,0.45
1XsYFNdIsiFLt7qbQPsUKN,Rohit John Chettri,Bistarai,Bistarai,44,228506,False,0.623,0.484,4,-7.904,1,0.026,0.434,0.0,0.108,0.349,140.016,3,Other / Misc,Folk & Country,Other / Misc,0.34
1vTOpNSpKyexTEt86ppYDB,Jorge & Mateus,Jorge & Mateus Ao Vivo Em Goiânia (Ao Vivo Em Goiânia / 2007),Amor Não É Jogo De Azar - Ao Vivo Em Goiânia / 2007,48,228800,False,0.701,0.9,6,-4.655,1,0.0542,0.149,0.0,0.851,0.84,137.788,4,Folk & Country,Folk & Country,Folk & Country,0.41
7JiihoVvi5LWBUr2x45ASM,Uno Svenningsson,Uno,Tro på varann,35,274093,False,0.645,0.559,11,-10.505,0,0.0307,0.137,0.000298,0.103,0.347,126.154,4,Other / Misc,Pop & Dance,Other / Misc,0.28
1VCA372FfrWA3yjOzPlBri,Nessa Barrett,It's You - Fresh Hits,die first,1,177108,False,0.444,0.669,8,-6.727,0,0.125,0.0669,0.0,0.124,0.44,183.441,4,Pop & Dance,Pop & Dance,Pop & Dance,1.0
2itzcJHEGyqAMn3GIu5sTe,Syn Cole,Melodia,Melodia,37,166451,False,0.782,0.757,11,-4.893,0,0.0406,0.0706,0.000554,0.32,0.655,123.964,4,Pop & Dance,Pop & Dance,Pop & Dance,0.45
2pyPe084AvBeM4VxqdWet3,Dan Cummins,Get Outta Here; Devil!,Get Rid of That Joke!,25,191399,True,0.604,0.619,5,-13.426,1,0.962,0.682,0.0,0.86,0.562,88.668,3,Comedy & Children,Comedy & Children,Comedy & Children,0.99
790GAji6LuoHsHswTGKlbY,Arckanum,Kostogher,Yvir Min Diupe Marder,18,283706,False,0.208,0.97,1,-21.9,1,0.0957,0.0,0.951,0.0962,0.0368,149.261,4,Rock & Metal,Rock & Metal,Rock & Metal,0.57
3XoflnowYPFRPOh3uFvHcm,DJ Snake;Selena Gomez,Selfish Love (with Selena Gomez),Selfish Love (with Selena Gomez),63,168648,False,0.723,0.646,5,-7.973,0,0.102,0.0206,0.352,0.0994,0.443,110.971,4,Pop & Dance,Pop & Dance,Pop & Dance,0.78
516i4fPIC2dmcM0sxLFir6,Josimar y Su Yambú,Salsa Pal Barrio,Corazón Embustero,28,349754,False,0.44,0.803,9,-4.894,0,0.0423,0.611,8.52e-06,0.208,0.681,168.019,4,Folk & Country,Folk & Country,Folk & Country,0.66
05tn6MGYoFRaXPYQpZmPcc,Red,Until We Have Faces,Faceless,52,203520,False,0.293,0.904,11,-4.155,0,0.0736,1.92e-05,0.0,0.103,0.294,172.168,4,Rock & Metal,Rock & Metal,Rock & Metal,0.67
6Z9x5m6NBptNaqvtuLCbL5,Alan Menken;Anders Soldh;Gävle Symphony Orchestra;Alexander Hanson,Helt Ny Varld (En) (A Whole New World) - Disney Favourites,The Hunchback of Notre Dame: God Help the Outcasts (arr. for orchestra),20,250120,False,0.19,0.0924,5,-21.136,1,0.0333,0.918,0.917,0.087,0.0551,84.999,3,Comedy & Children,Ambient & Chill,Comedy & Children,0.7
2Ef4mtuC9eXOa37ESXA7QO,Criolo,Nó na Orelha (Instrumental),Bogotá (Instrumental),19,280546,False,0.751,0.882,5,-7.125,0,0.0603,0.00323,0.875,0.137,0.872,122.037,4,Folk & Country,Pop & Dance,Folk & Country,0.61
1KO8qC9PQwMCEpO0IcQFtB,Thiaguinho,Meu Nome É Thiago André (Ao Vivo),A Lenda - Ao Vivo,46,217653,False,0.423,0.521,4,-8.526,1,0.0293,0.623,2.27e-06,0.431,0.324,156.032,4,Folk & Country,Folk & Country,Folk & Country,0.52
